name,value
High-quality Nolina,7600
High-quality Nolina Seed,63500
High-quality Olive,14400
High-quality Olive Seed,75000
High-quality Onion,12900
High-quality Onion Seed,54500
High-quality Paprika,13400
High-quality Paprika Seed,67500
High-quality Penestraria,5150
High-quality Penestraria Seed,18100
High-quality Pepper,11600
High-quality Pepper Seed,73000
High-quality Perilla,5950
High-quality Perilla Seed,11000
High-quality Pie Mushroom,6650
High-quality Pie Mushroom Hypha,82500
High-quality Potato,7800
High-quality Pumpkin,12300
High-quality Pumpkin Seed,84000
High-quality Purple Mushroom,6000
High-quality Purple Mushroom Hypha,68000
High-quality Radish,13900
High-quality Radish Seed,87000
High-quality Red-spotted Amanita,18900
High-quality Red-spotted Amanita Hypha,101000
High-quality Rice,8400
High-quality Rice Seed,4250
High-quality Seed Potato,2450
High-quality Seed Sweet Potato,5700
High-quality Silk Honey Grass,1940
High-quality Silk Honey Grass Seed,62500
High-quality Silver Azalea,2230
High-quality Silver Azalea Seed,15400
High-quality Sky Mushroom,3680
High-quality Sky Mushroom Hypha,107000
High-quality Strawberry,6700
High-quality Strawberry Seed,89000
High-quality Sunflower,14400
High-quality Sunflower Seed,68000
High-quality Sunrise Herb,1940
High-quality Sunrise Herb Seed,10400
High-quality Sweet Potato,6900
High-quality Tiger Mushroom,3680
High-quality Tiger Mushroom Hypha,107000
High-quality Tomato,12900
High-quality Tomato Seed,87000
High-quality Wheat,11700
High-quality Wheat Seed,6050
Hot Pepper,2560
Hot Pepper Seed,1430
Hughol's Aad Sphera,52000000
Hughol's Celestial Bo Staff,52000000
Hughol's Cestus,52000000
Hughol's Crescent Blade,52000000
Hughol's Crimson Glaives,52000000
Hughol's Dual Glaives,52000000
Hughol's Foxtail Fans,52000000
Hughol's Gardbrace,52000000
Hughol's Godr Sphera,52000000
Hughol's Greatbow,52000000
Hughol's Greatsword,52000000
Hughol's Iron Buster,52000000
Hughol's Jade Pillar,52000000
Hughol's Jordun,52000000
Hughol's Kamasylven Sword,52000000
Hughol's Kerispear,52000000
Hughol's Kibelius,52000000
Hughol's Lancia,52000000
Hughol's Lil' Devil,52000000
Hughol's Patraca,52000000
Hughol's Sah Chakram,52000000
Hughol's Scythe,52000000
Hughol's Sledgehammer,52000000
Hughol's Sting,52000000
Hughol's Sura Katana,52000000
Hughol's Trion,52000000
Hughol's Vediant,52000000
Hump Mushroom,3510
Hump Mushroom Hypha,22400
Immaculate Crescent Blade,10400000
Immortal: Corruption Draught,30400000
Immortal: Elixir of Indignation,41000000
Imperfect Alchemy Stone of Life,227000
Incense Trinket,21400
Indigo Lapis Lazuli,2370000
Inorganic Fertilizer,2330
Insectivore Plant Flower,23300
Insectivore Plant Leaf,24200
Insectivore Plant Powder,187000
Insectivore Plant Root,20500
Insectivore Plant Sap,127000
Insectivore Plant Stalk,21400
Intact Griffon's Beak,75000000
Inverted Heart of Garmoth,18700000000
Iron Chain Gardbrace,71000
Iron Crescent Blade,71000
Iron Ingot,72500
Iron Jade Pillar,10400000
Iron Ore,1970
Iron Vambrace,28600
Izaro Trainer's Clothes,8200000
Jade,32200
Jade Binyeo Knife,21400
Jade Coral Ingot,1870000
Jade Gourd Bottle,21400
Jooknip Gombangdae,28600
Jubre Talisman,29000
Juicy Steak,44000
Ka Yith'ka Trion,71000
Kabua's Fragment,93500000
Kagtum Submission Ring,1760000
Kaia Rowboat Decoration,15100000
Kalis Amulet,130000
Kalis Axe,130000
Kalis Battle Axe,130000
Kalis Belt,116000
Kalis Blade,130000
Kalis Crescent Pendulum,130000
Kalis Crossbow,130000
Kalis Earring,70000
Kalis Florang,130000
Kalis Foxspirit Charm,130000
Kalis Gauntlet,130000
Kalis Hammers,130000
Kalis Hwando,130000
Kalis Kriegsmesser,130000
Kalis Kyve,130000
Kalis Longbow,130000
Kalis Longsword,130000
Kalis Morning Star,130000
Kalis Necklace,224000
Kalis Power Pole,130000
Kalis Revolvers,130000
Kalis Ring,45900
Kalis Sacramentum,103000
Kalis Serenaca,130000
Kalis Shamshir,130000
Kalis Shortsword,130000
Kalis Slayer,130000
Kalis Staff,130000
Kalis Swallowtail Fan,130000
Kamalam Cestus,71000
Katan Combat Iron Armor for Camel,395000000
Kha'lath Trion,10400000
Kite Shield,28600
Knitting Yarn,12300
Krea Amulet,78500
Krea Axe,78500
Krea Battle Axe,78500
Krea Binyeo Knife,30300
Krea Blade,78500
Krea Clavis,31600
Krea Crescent Pendulum,78500
Krea Crossbow,78500
Krea Dagger,30300
Krea Do Stave,30300
Krea Florang,78500
Krea Foxspirit Charm,78500
Krea Gauntlet,78500
Krea Gombangdae,30300
Krea Gourd Bottle,30300
Krea Gravity Cores,30300
Krea Haladie,30300
Krea Hammers,78500
Krea Horn Bow,30300
Krea Hwando,78500
Krea Kriegsmesser,78500
Krea Kunai,30300
Krea Kyve,78500
Krea Longbow,78500
Krea Longsword,78500
Krea Mareca,30300
Krea Morning Star,78500
Krea Noble Sword,30300
Krea Ornamental Knot,30300
Krea Power Pole,78500
Krea Quoratum,30300
Krea Ra'ghon,30300
Krea Revolvers,78500
Krea Sacramentum,72500
Krea Serenaca,78500
Krea Shamshir,78500
Krea Shard,30300
Krea Shield,30300
Krea Shortsword,78500
Krea Shotgun,30300
Krea Shuriken,30300
Krea Slayer,78500
Krea Staff,78500
Krea Swallowtail Fan,78500
Krea Talisman,30300
Krea Trinket,30300
Krea Vambrace,30300
Krea Vitclari,30300
Kuku Bird Blood,19400
Kuku Bird Meat,12900
Kutum Binyeo Knife,131000000
Kutum Clavis,153000000
Kutum Dagger,131000000
Kutum Do Stave,131000000
Kutum Gombangdae,131000000
Kutum Gourd Bottle,131000000
Kutum Gravity Cores,131000000
Kutum Haladie,131000000
Kutum Horn Bow,131000000
Kutum Kunai,131000000
Kutum Mareca,131000000
Kutum Noble Sword,131000000
Kutum Ornamental Knot,131000000
Kutum Quoratum,131000000
Kutum Ra'ghon,131000000
Kutum Shard,131000000
Kutum Shield,131000000
Kutum Shotgun,131000000
Kutum Shuriken,131000000
Kutum Talisman,131000000
Kutum Trinket,131000000
Kutum Vambrace,131000000
Kutum Vitclari,131000000
Kzarka Amulet,241000000
Kzarka Axe,241000000
Kzarka Battle Axe,241000000
Kzarka Blade,241000000
Kzarka Crescent Pendulum,241000000
Kzarka Crossbow,241000000
Kzarka Florang,241000000
Kzarka Foxspirit Charm,241000000
Kzarka Gauntlet,241000000
Kzarka Hammers,241000000
Kzarka Hwando,241000000
Kzarka Kriegsmesser,241000000
Kzarka Kyve,241000000
Kzarka Longbow,241000000
Kzarka Longsword,241000000
Kzarka Morning Star,241000000
Kzarka Power Pole,241000000
Kzarka Revolvers,241000000
Kzarka Sacramentum,241000000
Kzarka Serenaca,241000000
Kzarka Shamshir,241000000
Kzarka Shortsword,241000000
Kzarka Slayer,241000000
Kzarka Staff,241000000
Kzarka Swallowtail Fan,241000000
Labreska's Helmet,26900000000
Ladothan Shard,28600
Lahr Arcien Barding,395000000
Lahr Mareca,28600
Lamb Meat,33800
Lapis Lazuli,59000
Laytenn's Power Stone,49800000
Lead Ingot,74500
Lead Ore,1570
Leather Glaze,478000
Leather Saddle of Storm,116000000
Leather Vambrace,21400
Leccinum,1510
Leccinum Hypha,21300
Leebur's Gloves,307000000
Legendary Beast's Blood,154000
Lemoria Armor,1620000
Lemoria Gloves,1220000
Lemoria Helmet,1190000
Lemoria Shoes,1150000
Levathan Shard,21400
Light-Swallowing Vediant,10400000
Lightweight Plume,12600
Lion Blood,27300
Lion Hide,1370
Lion Meat,37300
Liverto Amulet,6450000
Liverto Axe,6450000
Liverto Battle Axe,6450000
Liverto Blade,6450000
Liverto Crescent Pendulum,6450000
Liverto Crossbow,6450000
Liverto Florang,6450000
Liverto Foxspirit Charm,6450000
Liverto Gauntlet,6450000
Liverto Hammers,6450000
Liverto Hwando,6450000
Liverto Kriegsmesser,6450000
Liverto Kyve,6450000
Liverto Longbow,6450000
Liverto Longsword,6450000
Liverto Morning Star,6450000
Liverto Power Pole,6450000
Liverto Revolvers,6450000
Liverto Sacramentum,6550000
Liverto Serenaca,6450000
Liverto Shamshir,6450000
Liverto Shortsword,6450000
Liverto Slayer,6450000
Liverto Staff,6450000
Liverto Swallowtail Fan,6450000
Lizard Blood,21200
Lizard Hide,4480
Lizard Meat,7050
Llama Blood,19400
Llama Hide,3640
Llama Meat,19500
Log,14000
Loggia Alchemist's Clothes,620000
Loggia Belt,432000
Loggia Cook's Clothes,484000
Loggia Craftsman's Clothes,610000
Loggia Earring,515000
Loggia Fisher's Clothes,630000
Loggia Flask,113000000
Loggia Gatherer's Clothes,610000
Loggia Hunter's Clothes,550000
Loggia Ladle,321000000
Loggia Necklace,461000
Loggia Ring,474000
Loggia Sailing Log,322000000
Loggia Sailor's Clothes,660000
Loggia Tanning Knife,31500000
Loggia Trainer's Clothes,600000
Loopy Tree Plank,1930
Loopy Tree Plywood,37900
Loopy Tree Sap,3610
Loopy Tree Timber,515
Lord Godr Sphera,10400000
Luka Quoratum,29000
Lunario Patraca,10400000
Maehwa,28000
Magical Shard,4200000
Manos Alchemist's Clothes,241000000
Manos Belt,229000000
Manos Blue Coral Belt,72500000
Manos Cook's Clothes,241000000
Manos Craftsman's Clothes,241000000
Manos Diamond Necklace,22000000
Manos Earring,231000000
Manos Emerald Necklace,21600000
Manos Fisher's Clothes,241000000
Manos Flask,165000000
Manos Gatherer's Clothes,241000000
Manos Golden Coral Belt,182000000
Manos Green Coral Belt,74500000
Manos Hunter's Clothes,241000000
Manos Hunting Bag,245000000
Manos Ladle,580000000
Manos Necklace,222000000
Manos Red Coral Belt,132000000
Manos Ring,241000000
Manos Ruby Earring,10700000
Manos Ruby Necklace,12300000
Manos Ruby Ring,18000000
Manos Sailor's Clothes,241000000
Manos Sapphire Earring,16900000
Manos Sapphire Necklace,23300000
Manos Topaz Earring,12700000
Manos Topaz Necklace,22600000
Manos Topaz Ring,9650000
Manos Trainer's Clothes,178000000
Manos White Coral Belt,78000000
Maple Plank,6850
Maple Plywood,41700
Maple Sap,21900
Maple Timber,2130
Margoria Dark Iron,1360000
Mark of Shadow,1230000
Marmot Blood,23300
Marmot Hide,5000
Marmot Meat,18700
Marvelous Eilton Meal,21300000
Meat Sandwich,33900
Meju,5000
Melted Copper Shard,6650
Melted Gold Shard,57500
Melted Iron Shard,10500
Melted Lead Shard,10200
Melted Mythril Shard,126000
Melted Nickel Shard,28000
Melted Noc Shard,28000
Melted Platinum Shard,140000
Melted Silver Shard,62500
Melted Tin Shard,20800
Melted Titanium Shard,30300
Melted Vanadium Shard,32600
Melted Zinc Shard,27500
Memory Fragment,1970000
Mercenary's Greatsword,71000
Mercenary's Steel Greatsword,10400000
Merchant Wagon Flag,8550000
Mesima,3770
Mesima Hypha,20100
Mesto Earring,494000
Metal Solvent,475000
Milk,23300
Mimosa Stalk,1290
Mistress Noble Sword,28600
Monk's Branch,21000
Moonlight Opal,760000
Moonlit Soul Tome,10400000
Moss Tree Plank,1520
Moss Tree Plywood,16300
Moss Tree Sap,1540
Moss Tree Timber,485
Mud Crystal,39900
Mueri Lil' Devil,71000
Muskan's Shoes,293000000
Mysterious Powder,1350
Mystical Cleaning Oil,655000
Mythril,65500
Mythril Ingot,740000
Napa Cabbage,2000
Napa Cabbage Seed,3160
Narc Ear Accessory,39800000
Necklace of Good Deeds,37600000
Necklace of Shultz the Gladiator,1340000
Needle Trinket,29000
Nert Ring,1620000
Neshal Haladie,28600
Nickel Ingot,152000
Nickel Ore,7450
Noble Wagon Badge,18900000
Noble Wagon Cover,39600000
Noc Ingot,120000
Noc Ore,7450
Nolina,292
Nolina Seed,18000
Nouver Binyeo Knife,79500000
Nouver Clavis,147000000
Nouver Dagger,79500000
Nouver Do Stave,79500000
Nouver Gombangdae,79500000
Nouver Gourd Bottle,79500000
Nouver Gravity Cores,79500000
Nouver Haladie,79500000
Nouver Horn Bow,79500000
Nouver Kunai,79500000
Nouver Mareca,79500000
Nouver Noble Sword,79500000
Nouver Ornamental Knot,79500000
Nouver Quoratum,79500000
Nouver Ra'ghon,79500000
Nouver Shard,79500000
Nouver Shield,79500000
Nouver Shotgun,79500000
Nouver Shuriken,79500000
Nouver Talisman,79500000
Nouver Trinket,79500000
Nouver Vambrace,79500000
Nouver Vitclari,79500000
Nutmeg,2470
Nymphamaré's Song,3730000
Obsidian Ore,39500
Ocean Haze Ring,227000000
Ocean Sapphire,1230000
Ocean Sapphire Earring,104000
Ocean Sapphire Necklace,172000
Oeki's Sah Chakram,10400000
Offin Tett's Radiant Amulet,91000000
Offin Tett's Radiant Axe,91000000
Offin Tett's Radiant Battle Axe,91000000
Offin Tett's Radiant Blade,91000000
Offin Tett's Radiant Crescent Pendulum,91000000
Offin Tett's Radiant Crossbow,91000000
Offin Tett's Radiant Florang,91000000
Offin Tett's Radiant Foxspirit Charm,91000000
Offin Tett's Radiant Gauntlet,91000000
Offin Tett's Radiant Hammers,91000000
Offin Tett's Radiant Hwando,91000000
Offin Tett's Radiant Kriegsmesser,91000000
Offin Tett's Radiant Kyve,91000000
Offin Tett's Radiant Longbow,91000000
Offin Tett's Radiant Longsword,91000000
Offin Tett's Radiant Morning Star,91000000
Offin Tett's Radiant Power Pole,91000000
Offin Tett's Radiant Revolvers,91000000
Offin Tett's Radiant Sacramentum,98000000
Offin Tett's Radiant Serenaca,91000000
Offin Tett's Radiant Shamshir,91000000
Offin Tett's Radiant Shortsword,91000000
Offin Tett's Radiant Slayer,91000000
Offin Tett's Radiant Staff,91000000
Offin Tett's Radiant Swallowtail Fan,91000000
Ogre Blood,26400
Ogre Ring,57500000
Oil of Corruption,121000
Oil of Enchantment,7900000
Oil of Fortitude,114000
Oil of Regeneration,143000
Oil of Storms,149000
Oil of Tranquility,180000
Oil of the Abyss,171000
Old Tree Bark,1940
Old Tree Branch,720
Olive,650
Olive Seed,1840
Ominous Ring,296000000
Onion,4190
Onion Seed,2770
Oquilla Dream Barding,395000000
Oquilla Dream Champron,220000000
Oquilla Dream Horse Gear Set,1020000000
Oquilla Dream Saddle,264000000
Organic Fertilizer,20000
Origin of Dark Hunger,1130000000
Orkinrad's Belt,40700000
Oros Ornamental Knot,29000
Oros Vitclari,29000
Ouk Pill of Time and Tide,18700000
Outlaw's Ring,1320000
Ox Blood,15900
Ox Hide,4600
Oyster,19600
Pahr Mareca,21400
Palm Plank,1710
Palm Plywood,13700
Palm Sap,3170
Palm Timber,2960
Paprika,660
Paprika Seed,1650
Parrying Dagger,28600
Pau Quoratum,21400
Pear,645
Penestraria,359
Penestraria Seed,18500
Pepper,2380
Pepper Seed,3560
Perilla,3730
Perilla Oil,18700
Perilla Seed,1810
Persimmon,515
Pie Mushroom,875
Pie Mushroom Hypha,26100
Piece of Purification Lancia,10400000
Pig Blood,16700
Pig Hide,1470
Pile of Sunrise Herbs,1040
Pine Coated Plywood,54000
Pine Plank,4990
Pine Plywood,36900
Pine Sap,19800
Pine Timber,1360
Pineapple,755
Pink Rosebay,362
Pink Trumpet Mushroom,459
Pistachio,389
Placid Forest Emerald Necklace,1370000
Platinum Ingot,670000
Platinum Ore,41900
Plywood Hardener,690000
Polished Coral Belt,43300
Polished Opal,38200
Polished Stone,74500
Pork,35500
Potato,925
Potato Dough,4180
Potato Flour,4190
Powder of Darkness,8650
Powder of Earth,6650
Powder of Flame,4850
Powder of Rifts,1700
Powder of Time,11300
Practice Celestial Bo Staff,71000
Prairie Green Coral,2200000
Prairie Green Coral Belt,2540000
Preonne Belt,5000000000
Preonne Earring,6000000000
Preonne Necklace,5550000000
Preonne Ring,5900000000
Pri Aad Sphera,71000
Primordial Black Stone,72000000
Primordial Crystal,24600000
Processed Coal,19300
Pumpkin,1030
Pumpkin Seed,2650
Pure Copper Crystal,760000
Pure Gold Crystal,695000
Pure Iron Crystal,795000
Pure Lead Crystal,765000
Pure Mythril Crystal,1510000
Pure Nickel Crystal,805000
Pure Noc Crystal,795000
Pure Platinum Crystal,1650000
Pure Powder Reagent,14000
Pure Silver Crystal,800000
Pure Tin Crystal,795000
Pure Titanium Crystal,885000
Pure Vanadium Crystal,885000
Pure Zinc Crystal,760000
Purified Water,5300
Purple Mushroom,1240
Purple Mushroom Hypha,30400
Purple Pink Flower,32600
Pyunback Do Stave,29000
Quartz,555
Quitar Kunai,21400
Quitar Shuriken,21400
Rabbit Meat,13000
Raccoon Blood,23300
Raccoon Hide,15100
Raccoon Meat,23000
Radish,1740
Radish Seed,2850
Rainbow Button Mushroom,93500
Rainbow Coral Ring,2600000
Rawr-Rawr's Heart,2420000000
Red Battlefield Crystal: Addis,905000000
Red Coral,570000
Red Coral Belt,102000
Red Coral Earring,3800000
Red Coral Ring,8450000
Red Crystal,29800
Red Nose's Armor,303000000
Red Pepper Powder,23300
Red Sauce,8550
Red Tree Lump,5950
Red Wood Gourd Bottle,29000
Red-spotted Amanita,3770
Red-spotted Amanita Hypha,20100
Reed,242
Refined Delotia Reagent,56000
Refined Essence of Devouring,540000000
Refined Origin of Hunger,3040000000
Reforge Stone - Air Attack Extra Damage,135000000
Reforge Stone - All AP,135000000
Reforge Stone - All Accuracy,135000000
Reforge Stone - All Damage Reduction,135000000
Reforge Stone - All Evasion,135000000
Reforge Stone - Back Attack Extra Damage,356000000
Reforge Stone - Black Spirit's Rage Recovery,185000000
Reforge Stone - Critical Hit Extra Damage,135000000
Reforge Stone - Critical Hit Rate,135000000
Reforge Stone - Down Attack Extra Damage,135000000
Reforge Stone - Max HP,135000000
Remnants of Burnt Spirits,14000000
Resplendent Diamond,57500
Resplendent Diamond Necklace,73000
Resplendent Emerald,103000
Resplendent Emerald Necklace,87000
Resplendent Essence of Devouring,405000000
Resplendent Jade,55000
Resplendent Lapis Lazuli,158000
Resplendent Obsidian,90500
Resplendent Origin of Dark Hunger,1620000000
Resplendent Ruby,46700
Resplendent Ruby Earrings,26100
Resplendent Ruby Necklace,67500
Resplendent Ruby Ring,40100
Resplendent Sapphire,88000
Resplendent Sapphire Earring,50000
Resplendent Sapphire Necklace,86500
Resplendent Topaz,64500
Resplendent Topaz Earrings,50000
Resplendent Topaz Necklace,82000
Resplendent Topaz Ring,42800
Revived Lunar Necklace,247000000
Revived River Necklace,319000000
Rhik Talisman,28600
Rhino Blood,25500
Rhino Hide,1700
Rhino Meat,28300
Rhutum Elite Belt,1370000
Rice,2120
Rice Dough,4050
Rice Flour,4190
Rice Seed,620
Ridell Earring,411000
Ring of Cadry Guardian,127000000
Ring of Crescent Guardian,19400000
Ring of Good Deeds,243000
Robeau Hunter's Clothes,8200000
Rocaba Armor,120000
Rocaba Gloves,92000
Rocaba Helmet,66000
Rocaba Shoes,68500
Rock Elephant Blood,27300
Rock Elephant Meat,39000
Roroju Cook's Clothes,7650000
Rosar Amulet,195000
Rosar Axe,195000
Rosar Battle Axe,195000
Rosar Binyeo Knife,141000
Rosar Blade,195000
Rosar Clavis,119000
Rosar Crescent Pendulum,195000
Rosar Crossbow,195000
Rosar Dagger,141000
Rosar Do Stave,141000
Rosar Florang,195000
Rosar Foxspirit Charm,195000
Rosar Gauntlet,195000
Rosar Gombangdae,141000
Rosar Gourd Bottle,141000
Rosar Gravity Cores,141000
Rosar Haladie,141000
Rosar Hammers,195000
Rosar Horn Bow,141000
Rosar Hwando,195000
Rosar Kriegsmesser,195000
Rosar Kunai,141000
Rosar Kyve,195000
Rosar Longbow,195000
Rosar Longsword,195000
Rosar Mareca,141000
Rosar Morning Star,195000
Rosar Noble Sword,141000
Rosar Ornamental Knot,141000
Rosar Power Pole,195000
Rosar Quoratum,141000
Rosar Ra'ghon,141000
Rosar Revolvers,195000
Rosar Sacramentum,154000
Rosar Serenaca,195000
Rosar Shamshir,195000
Rosar Shard,141000
Rosar Shield,141000
Rosar Shortsword,195000
Rosar Shotgun,141000
Rosar Shuriken,141000
Rosar Slayer,195000
Rosar Staff,195000
Rosar Swallowtail Fan,195000
Rosar Talisman,141000
Rosar Trinket,141000
Rosar Vambrace,141000
Rosar Vitclari,141000
Rose,9350
Rough Black Crystal,10800
Rough Blue Crystal,9850
Rough Diamond,4050
Rough Emerald,4660
Rough Green Crystal,14000
Rough Iron Buster,71000
Rough Jade,12700
Rough Lapis Lazuli,11100
Rough Mud Crystal,8800
Rough Obsidian Ore,6450
Rough Opal,11000
Rough Red Crystal,9450
Rough Ruby,4130
Rough Sapphire,4070
Rough Stone,23300
Rough Topaz,4560
Rough Translucent Crystal,9050
Rough Violet Crystal,1410
Ruby,14500
Ruby Earrings,3580
Ruby Necklace,23500
Ruby Ring,9150
Rusalka's Coral,935000
Saffron,600
Sahmarin Dual Glaives,71000
Sahmarin Foxtail Fans,71000
Saiphir Greatbow,10400000
Saiyer Ornamental Knot,21400
Saiyer Vitclari,21400
Sapphire,20000
Sapphire Earring,8650
Sapphire Earring of Storms,2380000
Sapphire Necklace,37000
Sapphire Necklace of Storms,4980000
Scale Vambrace,29000
Scarla Necklace,5150000
Scarlet Rosebay,400
Schzeriel Lancia,71000
Scorched Fragment,270000
Scorpion Blood,23800
Scorpion Meat,37300
Scythe of Seduction,71000
Sea Lion Meat,16100
Seed Potato,520
Seed Sweet Potato,525
Seleth Amulet,76500
Seleth Axe,76500
Seleth Battle Axe,76500
Seleth Blade,76500
Seleth Crescent Pendulum,76500
Seleth Crossbow,76500
Seleth Florang,76500
Seleth Foxspirit Charm,76500
Seleth Gauntlet,76500
Seleth Hammers,76500
Seleth Hwando,76500
Seleth Kriegsmesser,76500
Seleth Kyve,76500
Seleth Longbow,76500
Seleth Longsword,76500
Seleth Morning Star,76500
Seleth Power Pole,76500
Seleth Revolvers,76500
Seleth Sacramentum,68500
Seleth Serenaca,76500
Seleth Shamshir,76500
Seleth Shortsword,76500
Seleth Slayer,76500
Seleth Staff,76500
Seleth Swallowtail Fan,76500
Serap's Necklace,26500000
Serendia Traditional Cooking Utensil,1190000
Serpi Shotgun,28600
Shabby Hide Stirrups,10100000
Shabby Wagon Badge,22200000
Shabby Wagon Cover,22200000
Shabby Wagon Flag,22000000
Shard of the Drained Night,23300000
Shard of the Furious Night,22200000
Shard of the Tearful Night,23300000
Sharos Ra'ghon,28600
Sharp Black Crystal Shard,4960000
Sheep Blood,13800
Sheep Hide,870
Shelled Seed,61000
Shining Alchemy Stone of Protection,3160000000000
Shining Gold Topaz Earrings,298000
Shining Gold Topaz Necklace,1370000
Shining Gold Topaz Ring,284000
Shining Powder,112000
Shiny Seed,66500
Ship Repair Kit,373000
Ship Repair Material,8100
Shrimp,18700
Shrine Guardian Token,185000
Sicil's Necklace,15600000
Silent Crystal of Origin,7000000000
Silent Fragment of Origin,140000000
Silk,45800
Silk Honey Grass,204
Silk Honey Grass Seed,12900
Silk Thread,14200
Silkworm Cocoon,1580
Silver Azalea,292
Silver Azalea Seed,2230
Silver Embroidered Farmer's Clothes,1360000
Silver Embroidered Trader's Clothes,1300000
Silver Ingot,236000
Silver Ore,15900
Single-brewed Mesima Tea,2890
Sinner's Blood,23800
Sky Blue Flower,32600
Sky Mushroom,735
Sky Mushroom Hypha,4480
Sledgehammer of Fission,71000
Sledgehammer of Fusion,10400000
Small Tree Spirit's Kamasylven Sword,71000
Small White Seed,32400
Snake Meat,37300
Snake Skin,1220
Snow Leopard Hide,2160
Snowfield Cedar Plank,23300
Snowfield Cedar Plywood,94000
Snowfield Cedar Sap,46600
Snowfield Cedar Timber,5600
Soft Ferri Feather,915
Soft Hide,14200
Soft Kuku Bird Plume,4200
Soft Whale Meat,40400
Solaris Patraca,71000
Sonan Sah Chakram,71000
Soy Sauce,23300
Soybean Paste,4950
Special Acacia Seed,325000
Special Amanita Mushroom,55000
Special Amanita Mushroom Hypha,361000
Special Ancient Mushroom,53500
Special Ancient Mushroom Hypha,380000
Special Arrow Mushroom,34600
Special Arrow Mushroom Hypha,380000
Special Barley,35300
Special Barley Seed,187000
Special Bluffer Mushroom,47200
Special Bluffer Mushroom Hypha,352000
Special Bouquet Mushroom,31900
Special Bouquet Mushroom Hypha,389000
Special Carrot Seed,93500
Special Chanterelle,56500
Special Chanterelle Hypha,276000
Special Chicken Feed,1040000
Special Citron,35800
Special Citron Seed,271000
Special Cloud Mushroom,37300
Special Cloud Mushroom Hypha,380000
Special Corn,37300
Special Corn Seed,220000
Special Dalvenia Alrea,32600
Special Dalvenia Alrea Seed,69500
Special Delotia,42800
Special Delotia Seed,51500
Special Dictyophora,64500
Special Dictyophora Hypha,343000
Special Dry Mane Grass,32000
Special Dry Mane Grass Seed,34500
Special Dwarf Mushroom,37300
Special Dwarf Mushroom Hypha,361000
Special Emperor Mushroom,37300
Special Emperor Mushroom Hypha,343000
Special Fire Flake Flower,32200
Special Fire Flake Flower Seed,45900
Special Fog Mushroom,38800
Special Fog Mushroom Hypha,361000
Special Fortune Teller Mushroom,37300
Special Fortune Teller Mushroom Hypha,339000
Special Garlic,28600
Special Garlic Seed,44500
Special Ghost Mushroom,34700
Special Ghost Mushroom Hypha,375000
Special Grape,40900
Special Grape Seed,295000
Special Haystack,227000
Special Hot Pepper,30900
Special Hot Pepper Seed,280000
Special Hump Mushroom,38800
Special Hump Mushroom Hypha,176000
Special Leccinum,39000
Special Leccinum Hypha,288000
Special Mesima,62500
Special Mesima Hypha,304000
Special Napa Cabbage,45400
Special Napa Cabbage Seed,298000
Special Nolina,32700
Special Nolina Seed,258000
Special Olive,48400
Special Olive Seed,184000
Special Onion,32900
Special Onion Seed,202000
Special Paprika,32300
Special Paprika Seed,307000
Special Penestraria,33100
Special Penestraria Seed,305000
Special Pepper,30600
Special Pepper Seed,50500
Special Perilla,38900
Special Perilla Seed,259000
Special Pie Mushroom,44200
Special Pie Mushroom Hypha,312000
Special Potato,24800
Special Pumpkin,38200
Special Pumpkin Seed,156000
Special Purple Mushroom,43700
Special Purple Mushroom Hypha,79000
Special Radish,41900
Special Radish Seed,294000
Special Red-spotted Amanita,39900
Special Red-spotted Amanita Hypha,343000
Special Rice,30300
Special Rice Seed,48000
Special Seed Potato,41100
Special Seed Sweet Potato,82500
Special Silk Honey Grass,37300
Special Silk Honey Grass Seed,56000
Special Silver Azalea,34600
Special Silver Azalea Seed,40800
Special Sky Mushroom,38800
Special Sky Mushroom Hypha,361000
Special Strawberry,39800
Special Strawberry Seed,256000
Special Sunflower,48400
Special Sunflower Seed,125000
Special Sunrise Herb,35600
Special Sunrise Herb Seed,35200
Special Sweet Potato,28600
Special Tiger Mushroom,37300
Special Tiger Mushroom Hypha,361000
Special Tomato,34300
Special Tomato Seed,253000
Special Wheat,36800
Special Wheat Seed,164000
Spell of Seduction Scythe,10400000
Spirit's Leaf,6650
Srulk Sailor's Clothes,8200000
Standardized Timber Square,149000
Star Anise,1240
Star Anise Mushroom,1010
Star Diamond,1780000
Star Diamond Necklace,159000
Starlit Jade's Breath,2380000
Starlit Soul Tome,71000
Starry Night Diamond Necklace,1370000
Steel,33700
Steel Dagger,29000
Steel Taritas Armor,254000
Steel Taritas Gloves,175000
Steel Taritas Helmet,229000
Steel Taritas Shoes,194000
Sticky Liquid,8400
Strawberry,545
Strawberry Seed,1360
Strong Wagon Wheel,10100000
Stuffed Cliffside Mountain Sheep Head,139000000
Stuffed Rock Elephant Head,75500000
Stura Kibelius,10400000
Sturdy Acacia Plywood,620000
Sturdy Ash Plywood,167000
Sturdy Birch Plywood,605000
Sturdy Caphras Tree Plywood,890000
Sturdy Cedar Plywood,456000
Sturdy Elder Tree Plywood,1120000
Sturdy Fir Plywood,483000
Sturdy Forest Tread,28000000
Sturdy Loopy Tree Plywood,1070000
Sturdy Maple Plywood,580000
Sturdy Moss Tree Plywood,1210000
Sturdy Palm Plywood,530000
Sturdy Pine Plywood,915000
Sturdy Snowfield Cedar Plywood,630000
Sturdy Thornwood Plywood,1030000
